video_uid,frame,x0,y0,x1,y1,action,bbox_id_new,frame_start,frame_end,time_current,time_start,time_end,duration
NZYNGOAT,415,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.6,16.6,17.0,0.3999999999999986
NZYNGOAT,416,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.64,16.6,17.0,0.3999999999999986
NZYNGOAT,417,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.68,16.6,17.0,0.3999999999999986
NZYNGOAT,418,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.72,16.6,17.0,0.3999999999999986
NZYNGOAT,419,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.76,16.6,17.0,0.3999999999999986
NZYNGOAT,420,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.8,16.6,17.0,0.3999999999999986
NZYNGOAT,421,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.84,16.6,17.0,0.3999999999999986
NZYNGOAT,422,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.88,16.6,17.0,0.3999999999999986
NZYNGOAT,423,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.92,16.6,17.0,0.3999999999999986
NZYNGOAT,424,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt00,415,425,16.96,16.6,17.0,0.3999999999999986
NZYNGOAT,460,0.8817,0.608438888888889,0.99260625,0.8318944444444445,cheering/chanting,6apyDYgqt01,460,495,18.4,18.4,19.8,1.4000000000000021
NZYNGOAT,461,0.881403125,0.6080444444444444,0.9923093749999999,0.8314999999999999,cheering/chanting,6apyDYgqt01,460,495,18.44,18.4,19.8,1.4000000000000021
